,test_mean,test_std,train_mean,train_std,n_features,features,model,feature_selector,gridsearch_time,evaluation_time
58,0.19193191784136057,0.09559934766323938,0.19761412795470762,0.06737651905411769,5,[ 712 1145   81  939  915],KNeighborsClassifier,k-best,0.2088487148284912,0.5880465507507324
59,0.15689536813375823,0.06593184149012588,0.19194234697133253,0.07324420426118061,5,[338  81 582 124 178],KNeighborsClassifier,k-best,0.2621443271636963,0.6433634757995605
60,0.20013972998106125,0.1044851067059335,0.20294053048400876,0.06479300842091176,5,[1117 1416  712  338   81],KNeighborsClassifier,k-best,0.24307870864868164,0.5140523910522461
61,0.18914931244652605,0.08803990516652557,0.19053103981364852,0.08136640736066479,5,[ 338 1117  178   81  582],KNeighborsClassifier,k-best-mean,0.3310713768005371,0.5621082782745361
62,0.442766230873816,0.10133881186900222,0.5298621542172266,0.09795281373715639,5,[942 920 931 939 229],RandomForestClassifier,k-best,4.664166450500488,18.801718711853027
63,0.1816608688009617,0.08526726094027703,0.16308517837503347,0.08290858060231382,5,[ 712 1145   81  939  915],RandomForestClassifier,k-best,4.584746360778809,2.387577533721924
64,0.17924501266993528,0.08013319794750481,0.1665787106076961,0.06691158740826185,5,[338  81 582 124 178],RandomForestClassifier,k-best,4.825044631958008,18.61008381843567
65,0.1933658508387611,0.08927563621154457,0.20899115886797043,0.07963056227955481,5,[1117 1416  712  338   81],RandomForestClassifier,k-best,4.428152322769165,5.888278007507324
66,0.19099420244931078,0.09686931154938776,0.19669107864760038,0.07886914271567735,5,[ 338 1117  178   81  582],RandomForestClassifier,k-best-mean,4.4200215339660645,6.121208190917969
67,0.37790758476129993,0.11964892129138566,0.41728392166073325,0.06894485142385874,5,[942 920 931 939 229],LogisticRegression,k-best,0.17040300369262695,0.6661672592163086
68,0.22862026074487377,0.0865295506877375,0.2285926274476999,0.07253381455872265,5,[ 712 1145   81  939  915],LogisticRegression,k-best,0.15437746047973633,0.48100852966308594
69,0.20574418543845788,0.07925887025395424,0.15523241251502123,0.06740098761969544,5,[338  81 582 124 178],LogisticRegression,k-best,0.13299918174743652,0.5098810195922852
70,0.18504841005228004,0.09951593603592454,0.17341488570474078,0.061486332941189305,5,[1117 1416  712  338   81],LogisticRegression,k-best,0.12984943389892578,0.4947662353515625
71,0.19246765260310153,0.09099374740514098,0.1809413578906333,0.06493098211364119,5,[ 338 1117  178   81  582],LogisticRegression,k-best-mean,0.1282331943511963,0.48805809020996094
72,0.35645451927959665,0.1253220356524754,0.34615117598450934,0.08002047622755419,1,[733],KNeighborsClassifier,random,0.23240065574645996,0.47418212890625
73,0.343530944316548,0.10303163580287866,0.35609579792188484,0.08367893287095997,1,[733],RandomForestClassifier,random,4.644274711608887,18.704075813293457
74,0.365767491882043,0.06920148922395772,0.3661812937465111,0.06949303612225843,1,[733],LogisticRegression,random,0.12117838859558105,0.4913656711578369
75,0.43737993015469795,0.12632605077593606,0.451060677379518,0.08300024324578066,1,[53],KNeighborsClassifier,random,0.19729971885681152,0.46741700172424316
76,0.4277496374168201,0.12382876656938024,0.4515887073205914,0.08339210569757782,1,[53],RandomForestClassifier,random,4.30989933013916,2.2142345905303955
77,0.24921959877068237,0.1022711526662162,0.22292283320544187,0.0711698425874929,1,[53],LogisticRegression,random,0.1263437271118164,0.4565720558166504
78,0.4412542857898895,0.0949886194899518,0.3858553826742232,0.0985205905533457,1,[57],KNeighborsClassifier,random,0.19149041175842285,0.46701645851135254
79,0.42715917338595355,0.10457441184885787,0.41986684035234756,0.08598682345968417,1,[57],RandomForestClassifier,random,4.417245864868164,2.1729307174682617
80,0.42193984678891805,0.06668090036879673,0.4128032756293626,0.05838035734149389,1,[57],LogisticRegression,random,0.11190438270568848,0.4179220199584961
81,0.4488071139386929,0.11984621497137603,0.4952518648822998,0.09470996894665044,2,[536 662],KNeighborsClassifier,random,0.19391798973083496,0.47004151344299316
82,0.48610872171630687,0.09654016495011138,0.5518338642034294,0.07385939899708388,2,[536 662],RandomForestClassifier,random,4.456244230270386,17.953830242156982
83,0.4478709247981694,0.08203604654322505,0.47849368345020515,0.05623852754915012,2,[536 662],LogisticRegression,random,0.12015652656555176,0.4321780204772949
84,0.5772149185810176,0.10115918521235709,0.6325110431704635,0.08681416127332306,2,[499 567],KNeighborsClassifier,random,0.1946580410003662,0.47542333602905273
85,0.5928354398439538,0.10099881018432195,0.6347526585062817,0.10394932787813797,2,[499 567],RandomForestClassifier,random,4.918432950973511,19.90195322036743
86,0.540334134103484,0.06381991281313978,0.5020518177474699,0.05667928909384675,2,[499 567],LogisticRegression,random,0.1180720329284668,0.42342352867126465
87,0.5067700075981809,0.11420560561965006,0.5273785243205533,0.08519499282161033,2,[325 208],KNeighborsClassifier,random,0.19528794288635254,0.47138404846191406
88,0.5605500238781971,0.10296916157267372,0.5855513144933435,0.0765684477301117,2,[325 208],RandomForestClassifier,random,4.276238679885864,5.68604040145874
89,0.4956766035249008,0.09842478055234188,0.544073316109548,0.05897716061967454,2,[325 208],LogisticRegression,random,0.11668753623962402,0.42795300483703613
90,0.4025091716848683,0.11845150896332762,0.4923430107198224,0.07579582152856813,3,[1268  359  949],KNeighborsClassifier,random,0.19467687606811523,0.4682443141937256
91,0.5651232515048306,0.1371072709496594,0.6539872202408434,0.12790335661838462,3,[1268  359  949],RandomForestClassifier,random,4.44906210899353,18.20863962173462
92,0.3691263021177882,0.12326088146155349,0.42439563227969024,0.09753198732452825,3,[1268  359  949],LogisticRegression,random,0.12384676933288574,0.44718313217163086
93,0.4925402857949298,0.11698135023043713,0.5678699759714252,0.1169659255285013,3,[1014 1031 1191],KNeighborsClassifier,random,0.1950678825378418,0.4733235836029053
94,0.5184190633068342,0.12482556476391539,0.5475769273667824,0.09318022295664298,3,[1014 1031 1191],RandomForestClassifier,random,4.381441831588745,2.2111308574676514
95,0.47280474155474156,0.09371741970064161,0.4601210574181589,0.0793207016735896,3,[1014 1031 1191],LogisticRegression,random,0.12128949165344238,0.4281935691833496
96,0.5112853983248721,0.11263676450409961,0.6047715534599594,0.09915681501378136,3,[1075  214  121],KNeighborsClassifier,random,0.24939894676208496,0.46925902366638184
97,0.6300282805429865,0.10710522142237303,0.7171833375963812,0.07064190075124538,3,[1075  214  121],RandomForestClassifier,random,4.443353891372681,18.559752225875854
98,0.5591448502477914,0.09327973854179758,0.621092543527326,0.07311580731950809,3,[1075  214  121],LogisticRegression,random,0.11963343620300293,0.43584442138671875
99,0.6799167381752522,0.11567862504090563,0.7110487352154018,0.08360165620470102,5,[267 232 885 160 206],KNeighborsClassifier,random,0.2017221450805664,0.47046566009521484
100,0.7083485737974903,0.09521388146165545,0.7886934517441765,0.08946436801288939,5,[267 232 885 160 206],RandomForestClassifier,random,4.362046003341675,5.828624486923218
101,0.5525201011578721,0.09362080589417619,0.5660417462301521,0.07478677254715106,5,[267 232 885 160 206],LogisticRegression,random,0.12606310844421387,0.45496678352355957
102,0.4716784876343699,0.10554132644712207,0.5243421597189714,0.08511846116808074,5,[1056  740  292  733 1053],KNeighborsClassifier,random,0.20275664329528809,0.47324657440185547
103,0.5122963438636813,0.11537795668498975,0.5684050978543732,0.07348577811644293,5,[1056  740  292  733 1053],RandomForestClassifier,random,5.364172458648682,19.402662754058838
104,0.43977827928292323,0.0849945461676612,0.4747865400836416,0.06220657933236476,5,[1056  740  292  733 1053],LogisticRegression,random,0.15806078910827637,0.5110917091369629
105,0.6593347118424518,0.08666638585917268,0.7115308282699587,0.0736310426717186,5,[ 420  107  442  339 1060],KNeighborsClassifier,random,0.2235887050628662,0.5896694660186768
106,0.7223686856658993,0.08794498160553535,0.7828567401465951,0.06874769337734232,5,[ 420  107  442  339 1060],RandomForestClassifier,random,4.678474187850952,18.715955018997192
107,0.6468726003671825,0.10590164500607215,0.6581017511742149,0.07515690159365382,5,[ 420  107  442  339 1060],LogisticRegression,random,0.13142919540405273,0.5461487770080566
